comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000000Djmm,116,7.58,0,0,1,NA,0,1,0,1,6,1,57
a0C00000000Dg6F,117,8,1,0,1,NA,1,0,0,1,4,0,83
a0C00000002dwLe,118,2.67,1,0,1,EMEA,0,1,0,1,4,0,26
a0C00000002oNZW,119,2.14,0,0,1,EMEA,0,1,0,1,2,1,12
a0C00000000FuyW,120,5.9,0,0,1,APAC,1,0,0,2,4,0,29
a0C00000002h7xK,121,2.57,1,0,1,APAC,1,0,0,1,5,0,56
a0C00000002oMjA,122,2.15,1,0,1,LATAM,0,1,0,1,4,1,16
a0C00000002uVmn,123,1.94,1,0,1,EMEA,1,0,0,1,0,1,16
a0C00000000UcvJ,124,5.31,0,0,1,NA,1,0,0,1,0,1,48
a0C00000000FdlU,125,5.97,0,0,1,NA,0,1,0,1,3,0,83
a0C000000014Tja,126,4.52,1,0,1,NA,0,1,0,1,4,0,40
a0C610000037UtA,127,0.22,0,0,1,EMEA,0,1,0,1,0,1,5
a0C00000002dwLZ,128,2.67,1,0,1,EMEA,0,1,0,1,5,0,12
a0C00000003NW6Z,129,0.93,0,0,1,NA,1,0,0,1,6,1,11
a0C00000001vWU4,130,3.67,0,0,1,APAC,1,0,0,1,7,1,18
a0C6100000377cL,131,0.25,0,0,1,NA,0,1,0,1,0,1,3
a0C00000002dwLo,132,2.67,0,0,1,EMEA,0,1,0,1,0,0,13
a0C00000002eLcF,133,2.65,1,0,1,APAC,0,1,0,1,4,0,3
a0C00000000Eveo,134,6.19,0,0,1,NA,0,0,0,1,3,0,295
a0C00000001gUY5,135,3.85,1,0,1,NA,1,0,0,1,2,1,22
a0C00000000oy5l,136,4.85,0,0,1,NA,0,1,0,1,4,1,84
a0C00000000jO0T,137,4.9,0,0,1,APAC,1,0,0,1,4,0,16
a0C00000000DgGK,138,7.99,1,0,1,NA,1,0,0,2,1,0,0
a0C00000000FsRt,139,5.91,0,0,1,NA,0,1,0,1,2,0,0
a0C00000003NWu6,140,0.9,0,0,1,APAC,0,1,0,1,0,0,0
a0C61000002QSPB,141,0.27,0,0,1,EMEA,0,0,0,1,5,1,0
a0C6100000375IM,142,0.25,0,0,1,NA,0,0,0,1,0,0,0
a0C00000000wlku,143,4.62,1,0,1,EMEA,1,0,0,1,8,1,548
a0C00000002SnyX,144,2.94,1,0,1,NA,1,0,0,2,6,1,28
a0C00000002Snyh,145,2.94,1,0,1,NA,1,0,0,2,6,1,32
a0C00000001JAmb,146,4.31,0,0,1,EMEA,1,0,0,1,6,1,185
a0C00000000UAcX,147,5.39,1,0,1,EMEA,1,0,0,2,7,1,419
a0C00000002wcBb,148,1.74,1,0,1,NA,1,0,0,1,6,1,136
a0C00000001C5zM,149,4.41,0,0,1,EMEA,1,0,0,1,7,1,182
a0C00000002bSI2,150,2.73,0,0,1,EMEA,1,0,0,1,4,1,30
a0C00000003N1NY,151,1.25,0,0,1,EMEA,1,0,0,1,0,1,45
